 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH03_0289_S01	geneSets_broadCancer	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION (pc_up (4/72))	druggable: CCND3 (pc)	overlap_genes_in_pc_up CCND3,EBF1,MED12,TNF and pd_up NA						
TH03_0289_S01	geneSets_nonCancer	HALLMARK_ALLOGRAFT_REJECTION (pc_up (7/200))	druggable: CCND3 (pc)	overlap_genes_in_pc_up CCND3,CSK,IL16,LTB,NCF4,TNF,WAS and pd_up NA						
TH03_0289_S01	geneSets_nonCancer	KEGG_INOSITOL_PHOSPHATE_METABOLISM (pc_up (4/54))	druggable: PIK3C2B (pc), PIK3CD (pc)	overlap_genes_in_pc_up PIK3C2B,PIK3CD,PLCG2,PTEN and pd_up NA						
TH03_0289_S01	geneSets_nonCancer	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION (pc_up (6/118))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up ITGA4,NCF1,NCF4,PIK3CD,PLCG2,PTK2B,VAV1 and pd_up NA						
TH03_0289_S01	geneSets_nonCancer	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY (pc_up (7/137))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up PIK3CD,PLCG2,PPP3CC,PTK2B,SH3BP2,TNF,VAV1 and pd_up NA						
TH03_0289_S01	geneSets_nonCancer	KEGG_TYPE_II_DIABETES_MELLITUS (pc_up (3/47))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up PIK3CD,SOCS2,TNF and pd_up NA						
TH03_0289_S01	geneSets_nonCancer	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE (pc_up (3/31))	druggable: PIK3C2B (pc), PIK3CD (pc)	overlap_genes_in_pc_up PIK3C2B,PIK3CD,PTEN and pd_up NA						
TH03_0290_S01	new sample									
TH03_0290_S01	Disease	glioma								
TH03_0290_S01	druggableUpOutlier	IL6	pd		JAK/STAT	JAK/STAT	IL6	HALLMARK_INFLAMMATORY_RESPONSE (pd_up (5/200))		
TH03_0290_S01	geneSets_priority1	HALLMARK_INTERFERON_GAMMA_RESPONSE (pd_up (3/200))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up CCL5,CFH,IL6						
TH03_0290_S01	geneSets_priority1	HALLMARK_TNFA_SIGNALING_VIA_NFKB (pd_up (5/200))	druggable: IL6 (pd)	overlap_genes_in_pc_up EGR3,GADD45A,GADD45B,HBEGF and pd_up CCL5,FOSL1,HBEGF,IL6,NR4A1						
TH03_0290_S01	geneSets_priority1	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION (pd_up (4/267))	druggable: IL6 (pd)	overlap_genes_in_pc_up CCL3L3 and pd_up CCL5,IL1R1,IL6						
TH03_0290_S01	geneSets_priority1	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY (pd_up (3/62))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up CCL5,IL6						
TH03_0290_S01	geneSets_priority1	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY (pd_up (3/102))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up CCL5,IL6						
TH03_0290_S01	geneSets_priority1	PID_AMB2_NEUTROPHILS_PATHWAY (pd_up (2/41))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up CTGF,IL6						
TH03_0290_S01	geneSets_priority1	PID_AP1_PATHWAY (pd_up (3/70))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up FOSL1,IL6						
TH03_0290_S01	geneSets_priority1	PID_ATF2_PATHWAY (pd_up (3/59))	druggable: IL6 (pd)	overlap_genes_in_pc_up GADD45A,HBG2 and pd_up HBG2,IL6						
TH03_0290_S01	geneSets_priority1	PID_FRA_PATHWAY (pd_up (5/37))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up DCN,FOSL1,IL6,MGP						
TH03_0290_S01	geneSets_priority1	PID_REG_GR_PATHWAY (pd_up (3/82))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up IL6,NR4A1						
TH03_0290_S01	geneSets_broadCancer	NABA_MATRISOME (comm_up (5/1028) and pc_up (13/1028) and pd_up (19/1028))	druggable: IL6 (pd)	overlap_genes_in_pc_up BCAN,CCL3L3,COL23A1,CSPG5,FGF1,HBEGF,ITIH2,LAMA2,LAMC3,LGI1,NCAN,S100B,TIMP4 and pd_up ADAMTS1,CCL5,COL23A1,CTGF,CXCL8,DCN,FBLN2,GDF15,HBEGF,IGFBP6,IL6,ITIH2,ITIH5,LAMA2,LAMC3,MGP,OGN,SERPINA5,THBS1						
TH03_0290_S01	geneSets_broadCancer	HALLMARK_APOPTOSIS (pc_up (4/161) and pd_up (3/161))	druggable: IL6 (pd)	overlap_genes_in_pc_up EGR3,GADD45A,GADD45B,PEA15 and pd_up DCN,IGFBP6,IL6						
TH03_0290_S01	geneSets_broadCancer	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION (pd_up (8/200))	druggable: IL6 (pd)	overlap_genes_in_pc_up GADD45A,GADD45B,LAMA2,SCG2 and pd_up CTGF,DCN,FBLN2,IL6,LAMA2,MGP,THBS1						
TH03_0290_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (pd_up (5/933))	druggable: IL6 (pd)	overlap_genes_in_pc_up KIF5A,S100B and pd_up C7,CFH,IL1R1,IL6,NR4A1						
TH03_0290_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pd_up (4/328))	druggable: IL6 (pd)	overlap_genes_in_pc_up FGF1,LAMA2,LAMC3 and pd_up IL6,LAMA2,LAMC3						
TH03_0290_S01	geneSets_broadCancer	NABA_MATRISOME_ASSOCIATED (pd_up (9/753))	druggable: IL6 (pd)	overlap_genes_in_pc_up CCL3L3,CSPG5,FGF1,HBEGF,ITIH2,S100B,TIMP4 and pd_up ADAMTS1,CCL5,CXCL8,GDF15,HBEGF,IL6,ITIH2,ITIH5,SERPINA5						
TH03_0290_S01	geneSets_broadCancer	PID_LYSOPHOSPHOLIPID_PATHWAY (pd_up (3/66))	druggable: IL6 (pd)	overlap_genes_in_pc_up HBEGF and pd_up HBEGF,IL6						
TH03_0290_S01	geneSets_nonCancer	HALLMARK_COMPLEMENT (pd_up (4/200))	druggable: IL6 (pd)	overlap_genes_in_pc_up HSPA1A,MT3,SCG3 and pd_up CCL5,CFH,HSPA1A,IL6						
TH03_0290_S01	geneSets_nonCancer	HALLMARK_HYPOXIA (pd_up (4/200))	druggable: IL6 (pd)	overlap_genes_in_pc_up BCAN,DTNA,KIF5A,NCAN and pd_up CTGF,DCN,ERRFI1,IL6						
TH03_0290_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_UP (pd_up (3/158))	druggable: IL6 (pd)	overlap_genes_in_pc_up DNAJB1,NTRK3 and pd_up DNAJB1,IL6,NR4A1						
TH03_0290_S01	geneSets_nonCancer	BIOCARTA_INFLAM_PATHWAY (pd_up (2/29))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up IL6						
TH03_0290_S01	geneSets_nonCancer	HALLMARK_INFLAMMATORY_RESPONSE (pd_up (5/200))	druggable: IL6 (pd)	overlap_genes_in_pc_up HBEGF,SLC1A2 and pd_up CCL5,HBEGF,IL1R1,IL6						
TH03_0290_S01	geneSets_nonCancer	KEGG_PRION_DISEASES (pd_up (4/35))	druggable: IL6 (pd)	overlap_genes_in_pc_up HSPA1A and pd_up C7,CCL5,HSPA1A,IL6						
TH03_0290_S01	geneSets_nonCancer	NABA_SECRETED_FACTORS (pd_up (5/344))	druggable: IL6 (pd)	overlap_genes_in_pc_up CCL3L3,FGF1,HBEGF,S100B and pd_up CCL5,CXCL8,GDF15,HBEGF,IL6						
TH03_0290_S01		BIOCARTA_CYTOKINE_PATHWAY (pd_up (2/22))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up IL6						
TH03_0290_S01		BIOCARTA_IL17_PATHWAY (pd_up (2/17))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up IL6						
TH03_0290_S01		BIOCARTA_IL1R_PATHWAY (pd_up (2/33))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up IL1R1,IL6						
TH03_0290_S01		BIOCARTA_LAIR_PATHWAY (pd_up (3/17))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up C7,IL6						
TH03_0290_S01		BIOCARTA_STEM_PATHWAY (pd_up (2/15))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up IL6						
TH03_0290_S01		KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY (pd_up (2/56))	druggable: IL6 (pd)	overlap_genes_in_pc_up NA and pd_up CCL5,IL6						
TH03_0291_S01	new sample									
TH03_0291_S01	Disease	ependymoma								
TH03_0291_S01	druggableUpOutlier	ERBB2	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	ERBB2	None		
TH03_0291_S01	geneSets_nonCancer	HALLMARK_UV_RESPONSE_DN (pd_up (6/144))	druggable: ERBB2 (pd)	overlap_genes_in_pc_up ADD3,BCKDHB,LPAR1,SCHIP1 and pd_up ADD3,ANXA4,BCKDHB,ERBB2,LPAR1,PTEN						
TH03_0296_S01	new sample									
TH03_0296_S01	Disease	osteosarcoma								
TH03_0296_S01	druggableUpOutlier	No druggableUpOutliers								
TH03_0296_S01		no enriched druggable geneSets								
TH03_0296_S02	new sample									
TH03_0296_S02	Disease	osteosarcoma								
TH03_0296_S02	druggableUpOutlier	TEK	pc, pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	TEK	None		
TH06_0284_S01	new sample									
TH06_0284_S01	Disease	neuroblastoma								
TH06_0284_S01	druggableUpOutlier	ERBB3	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	ERBB3	None		
TH06_0284_S01	geneSets_priority1	PID_A6B1_A6B4_INTEGRIN_PATHWAY (pd_up (4/46))	druggable: ERBB3 (pd)	overlap_genes_in_pc_up RXRG,YWHAG and pd_up ERBB3,ITGA6,ITGB4,RXRG						
TH06_0284_S01	geneSets_nonCancer	HALLMARK_MYOGENESIS (pd_up (6/200))	druggable: ERBB3 (pd)	overlap_genes_in_pc_up ACHE,FXYD1,GNAO1,REEP1 and pd_up APOD,DMD,ERBB3,GPX3,ITGB4,PRNP						
TH06_0610_S01	new sample									
TH06_0610_S01	Disease	sarcoma								
TH06_0610_S01	druggableUpOutlier	ALK	pc, pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	ALK		Analyst review: activated downstream pathways	
TH06_0610_S01	druggableUpOutlier	CCND1	pd		Cell Cycle	Cell Cycle	CCND1	PID_CMYB_PATHWAY (pd_up (5/84))		identified in previous manual review
TH06_0610_S01	druggableUpOutlier	FGFR1	pd		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FGFR1	PID_FGF_PATHWAY (pd_up (5/55))		identified in previous manual review
TH06_0610_S01	druggableUpOutlier	IL6	pc, pd		JAK/STAT	JAK/STAT	IL6	BIOCARTA_IL10_PATHWAY (pd_up (3/17))		identified in previous manual review
TH06_0610_S01	druggableUpOutlier	JAK1	pd		JAK/STAT	JAK/STAT	JAK1	BIOCARTA_IL10_PATHWAY (pd_up (3/17))		identified in previous manual review
TH06_0610_S01	druggableUpOutlier	STAT5B	pd		JAK/STAT	JAK/STAT	STAT5B	BIOCARTA_IL10_PATHWAY (pd_up (3/17))		identified in previous manual review
TH06_0610_S01	geneSets_priority1	REACTOME_AXON_GUIDANCE (comm_up (6/251) and pd_up (9/251))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up ABLIM1,KCNQ3,MYO10,NTN1,PIP5K1C,TRIO and pd_up ABLIM1,AGRN,FGFR1,KCNQ3,MYO10,NCAM1,NTN1,PIP5K1C,TRIO						
TH06_0610_S01	geneSets_priority1	HALLMARK_TNFA_SIGNALING_VIA_NFKB (pd_up (10/200))	druggable: CCND1 (pd), IL6 (pc and pd)	overlap_genes_in_pc_up GFPT2,IL6,SLC2A3 and pd_up CCND1,DUSP2,ETS2,GFPT2,IL6,KYNU,MXD1,NFIL3,PHLDA2,SLC2A3						
TH06_0610_S01	geneSets_priority1	BIOCARTA_IL10_PATHWAY (pd_up (3/17))	druggable: IL6 (pc and pd), JAK1 (pd), STAT5B (pd)	overlap_genes_in_pc_up IL6 and pd_up IL6,JAK1,STAT5B						
TH06_0610_S01	geneSets_priority1	KEGG_WNT_SIGNALING_PATHWAY (pd_up (6/151))	druggable: CCND1 (pd)	overlap_genes_in_pc_up FZD10,WNT3 and pd_up AXIN2,CCND1,FZD10,PPARD,WNT3,WNT9B						
TH06_0610_S01	geneSets_priority1	PID_AP1_PATHWAY (pd_up (4/70))	druggable: CCND1 (pd), IL6 (pc and pd)	overlap_genes_in_pc_up AGT,IL6 and pd_up AGT,CCND1,IL6,MAF						
TH06_0610_S01	geneSets_priority1	PID_CMYB_PATHWAY (pd_up (5/84))	druggable: CCND1 (pd)	overlap_genes_in_pc_up CBX4 and pd_up CBX4,CCND1,ETS2,MAD1L1,MAF						
TH06_0610_S01	geneSets_priority1	PID_ECADHERIN_NASCENT_AJ_PATHWAY (pd_up (3/39))	druggable: CCND1 (pd)	overlap_genes_in_pc_up PIP5K1C and pd_up CCND1,CTNNA1,PIP5K1C						
TH06_0610_S01	geneSets_priority1	PID_FGF_PATHWAY (pd_up (5/55))	druggable: FGFR1 (pd), STAT5B (pd)	overlap_genes_in_pc_up FGF19 and pd_up FGF19,FGFR1,NCAM1,PDPK1,STAT5B						
TH06_0610_S01	geneSets_priority1	PID_FRA_PATHWAY (pd_up (3/37))	druggable: CCND1 (pd), IL6 (pc and pd)	overlap_genes_in_pc_up IL6 and pd_up CCND1,IL6,MGP						
TH06_0610_S01	geneSets_priority1	PID_NCADHERIN_PATHWAY (pd_up (3/33))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up PIP5K1C and pd_up CTNNA1,FGFR1,PIP5K1C						
TH06_0610_S01	geneSets_priority1	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR (pd_up (5/100))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up ADCY2,FGF19 and pd_up ADCY2,CALM1,FGF19,FGFR1,PDPK1						
TH06_0610_S01	geneSets_priority1	REACTOME_IL_6_SIGNALING (pd_up (2/11))	druggable: IL6 (pc and pd), JAK1 (pd)	overlap_genes_in_pc_up IL6 and pd_up IL6,JAK1						
TH06_0610_S01	geneSets_priority1	REACTOME_IL_7_SIGNALING (pd_up (2/11))	druggable: JAK1 (pd), STAT5B (pd)	overlap_genes_in_pc_up NA and pd_up JAK1,STAT5B						
TH06_0610_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR (pd_up (5/112))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up ADCY2,FGF19 and pd_up ADCY2,CALM1,FGF19,FGFR1,PDPK1						
TH06_0610_S01	geneSets_priority1	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE (pd_up (6/127))	druggable: FGFR1 (pd), STAT5B (pd)	overlap_genes_in_pc_up ADCY2,FGF19 and pd_up ADCY2,CALM1,FGF19,FGFR1,PDPK1,STAT5B						
TH06_0610_S01	geneSets_priority1	ST_STAT3_PATHWAY (pd_up (2/11))	druggable: IL6 (pc and pd), JAK1 (pd)	overlap_genes_in_pc_up IL6 and pd_up IL6,JAK1						
TH06_0610_S01	geneSets_broadCancer	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION (comm_up (7/200) and pc_up (8/200) and pd_up (11/200))	druggable: IL6 (pc and pd)	overlap_genes_in_pc_up CRLF1,FOXC2,IL6,NT5E,OXTR,PMP22,SCG2,TGM2 and pd_up APLP1,FBN1,FOXC2,IGFBP4,IL6,MGP,NT5E,OXTR,PMP22,SCG2,TGM2						
TH06_0610_S01	geneSets_broadCancer	NABA_MATRISOME (comm_up (26/1028) and pc_up (33/1028) and pd_up (38/1028))	druggable: IL6 (pc and pd)	overlap_genes_in_pc_up ADAM8,ADAMTS9,AGT,C1QTNF1,CILP,CRLF1,CST2,EGFLAM,F10,FGF19,HTRA3,IGFBP1,IL6,ITIH5,MUC16,MUC4,NTF3,NTN1,P4HA3,RELN,SCUBE1,SERPINI1,SFTA2,SFTPA1,SFTPA2,SFTPB,SFTPC,SFTPD,SRGN,TGFB2,TGM2,WFIKKN2,WNT3 and pd_up ADAM8,ADAMTS9,AGRN,AGT,ANXA4,C1QL1,C1QTNF1,CSPG4,CST2,EGFLAM,F10,FBN1,FGF19,HTRA3,IGFBP1,IGFBP4,IL6,ITIH5,KAZALD1,LAMB2,LTBP3,MGP,NTF3,NTN1,P4HA3,RELN,SCUBE1,SEMA3B,SERPINI1,SFTPA1,SFTPA2,SFTPC,SRGN,TGFB2,TGM2,WFIKKN2,WNT3,WNT9B						
TH06_0610_S01	geneSets_broadCancer	NABA_MATRISOME_ASSOCIATED (comm_up (21/753) and pc_up (27/753) and pd_up (27/753))	druggable: IL6 (pc and pd)	overlap_genes_in_pc_up ADAM8,ADAMTS9,AGT,C1QTNF1,CRLF1,CST2,F10,FGF19,HTRA3,IL6,ITIH5,MUC16,MUC4,NTF3,P4HA3,SCUBE1,SERPINI1,SFTA2,SFTPA1,SFTPA2,SFTPB,SFTPC,SFTPD,TGFB2,TGM2,WFIKKN2,WNT3 and pd_up ADAM8,ADAMTS9,AGT,ANXA4,C1QL1,C1QTNF1,CSPG4,CST2,F10,FGF19,HTRA3,IL6,ITIH5,KAZALD1,NTF3,P4HA3,SCUBE1,SEMA3B,SERPINI1,SFTPA1,SFTPA2,SFTPC,TGFB2,TGM2,WFIKKN2,WNT3,WNT9B						
TH06_0610_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pd_up (15/328))	druggable: CCND1 (pd), FGFR1 (pd), IL6 (pc and pd), JAK1 (pd), STAT5B (pd)	overlap_genes_in_pc_up FGF19,FZD10,IL6,TGFB2,WNT3 and pd_up AXIN2,CCND1,CTNNA1,FGF19,FGFR1,FZD10,IL6,JAK1,LAMB2,PPARD,RALGDS,STAT5B,TGFB2,WNT3,WNT9B						
TH06_0610_S01	geneSets_broadCancer	KEGG_COLORECTAL_CANCER (pd_up (4/62))	druggable: CCND1 (pd)	overlap_genes_in_pc_up TGFB2 and pd_up AXIN2,CCND1,RALGDS,TGFB2						
TH06_0610_S01	geneSets_broadCancer	KEGG_ENDOMETRIAL_CANCER (pd_up (4/52))	druggable: CCND1 (pd)	overlap_genes_in_pc_up NA and pd_up AXIN2,CCND1,CTNNA1,PDPK1						
TH06_0610_S01	geneSets_broadCancer	KEGG_PANCREATIC_CANCER (pd_up (4/70))	druggable: CCND1 (pd), JAK1 (pd)	overlap_genes_in_pc_up TGFB2 and pd_up CCND1,JAK1,RALGDS,TGFB2						
TH06_0610_S01	geneSets_broadCancer	PID_LYSOPHOSPHOLIPID_PATHWAY (pd_up (4/66))	druggable: IL6 (pc and pd)	overlap_genes_in_pc_up ADCY2,IL6 and pd_up ADCY2,GNAI2,GNAQ,IL6						
TH06_0610_S01	geneSets_broadCancer	REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE (pd_up (4/54))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up ADCY2,FGF19 and pd_up ADCY2,CALM1,FGF19,FGFR1						
TH06_0610_S01	geneSets_nonCancer	HALLMARK_HYPOXIA (comm_up (6/200) and pc_up (6/200) and pd_up (7/200))	druggable: IL6 (pc and pd)	overlap_genes_in_pc_up IGFBP1,IL6,PCK1,SLC2A3,STC1,TGM2 and pd_up IGFBP1,IL6,NFIL3,PCK1,SLC2A3,STC1,TGM2						
TH06_0610_S01	geneSets_nonCancer	REACTOME_DEVELOPMENTAL_BIOLOGY (comm_up (8/396) and pc_up (8/396) and pd_up (12/396))	druggable: FGFR1 (pd)	overlap_genes_in_pc_up ABLIM1,CDH4,KCNQ3,MYO10,NTN1,PCK1,PIP5K1C,TRIO and pd_up ABLIM1,AGRN,CDH4,CTNNA1,FGFR1,KCNQ3,MYO10,NCAM1,NTN1,PCK1,PIP5K1C,TRIO						
TH06_0610_S01	geneSets_nonCancer	NABA_SECRETED_FACTORS (comm_up (7/344) and pc_up (8/344) and pd_up (8/344))	druggable: IL6 (pc and pd)	overlap_genes_in_pc_up CRLF1,FGF19,IL6,NTF3,SCUBE1,TGFB2,WFIKKN2,WNT3 and pd_up FGF19,IL6,NTF3,SCUBE1,TGFB2,WFIKKN2,WNT3,WNT9B						
TH06_0610_S01	geneSets_nonCancer	HALLMARK_COMPLEMENT (pd_up (6/200))	druggable: IL6 (pc and pd)	overlap_genes_in_pc_up DOCK4,F10,IL6 and pd_up CALM1,DOCK4,F10,GNAI2,IL6,KYNU						
TH06_0610_S01	geneSets_nonCancer	HALLMARK_ANDROGEN_RESPONSE (pd_up (6/101))	druggable: CCND1 (pd)	overlap_genes_in_pc_up INSIG1 and pd_up ALDH1A3,ANKH,CCND1,ELL2,INSIG1,MAF						
TH06_0610_S01	geneSets_nonCancer	HALLMARK_ESTROGEN_RESPONSE_EARLY (pd_up (8/200))	druggable: CCND1 (pd)	overlap_genes_in_pc_up ABLIM1,DHCR7,NADSYN1,TGM2 and pd_up ABLIM1,CCND1,DHCR7,IGFBP4,NADSYN1,PTGES,SEMA3B,TGM2						
TH06_0610_S01	geneSets_nonCancer	HALLMARK_ESTROGEN_RESPONSE_LATE (pd_up (8/200))	druggable: CCND1 (pd), JAK1 (pd)	overlap_genes_in_pc_up DHCR7 and pd_up ATP2B4,CCND1,DHCR7,DUSP2,IGFBP4,JAK1,PTGES,SEMA3B						
TH06_0610_S01		KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM (pc_up (4/85))	druggable: IL6 (pc and pd)	overlap_genes_in_pc_up DES,IL6,SGCA,TGFB2 and pd_up IL6,SGCA,TGFB2						
TH06_0611_S01	new sample									
TH06_0611_S01	Disease	craniopharyngioma								
TH06_0611_S01	druggableUpOutlier	PTCH1	pc		Sonic Hedgehog (SHH)	Sonic Hedgehog (SHH)	PTCH1	BIOCARTA_SHH_PATHWAY (pc_up (3/16))		identified in previous manual review
TH06_0611_S01	geneSets_priority1	BIOCARTA_PTC1_PATHWAY (pc_up (2/11))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up PTCH1,SHH and pd_up NA						
TH06_0611_S01	geneSets_priority1	BIOCARTA_SHH_PATHWAY (pc_up (3/16))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up GLI3,PTCH1,SHH and pd_up NA						
TH06_0611_S01	geneSets_priority1	HALLMARK_WNT_BETA_CATENIN_SIGNALING (pc_up (3/42))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up DKK4,PTCH1,WNT6 and pd_up NA						
TH06_0611_S01	geneSets_priority1	KEGG_HEDGEHOG_SIGNALING_PATHWAY (pc_up (4/56))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up GLI3,PTCH1,SHH,WNT6 and pd_up NA						
TH06_0611_S01	geneSets_priority1	PID_HEDGEHOG_2PATHWAY (pc_up (4/22))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up PTCH1,PTHLH,SHH,TGFB2 and pd_up NA						
TH06_0611_S01	geneSets_priority1	PID_HEDGEHOG_GLI_PATHWAY (pc_up (3/48))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up GLI3,PTCH1,SHH and pd_up NA						
TH06_0611_S01	geneSets_priority1	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS (pc_up (4/88))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up PTCH1,PTHLH,SHH,WNT6 and pd_up NA						
TH06_0611_S01	geneSets_priority1	REACTOME_SIGNALING_BY_GPCR (pc_up (11/920))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up ARHGEF3,DRD2,LPAR3,PDE4D,PTCH1,PTHLH,SHH,SOS1,TAC3,TIAM1,WNT6 and pd_up NA						
TH06_0611_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pc_up (7/328))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up GLI3,ITGA2,PTCH1,SHH,SOS1,TGFB2,WNT6 and pd_up NA						
TH06_0611_S01	geneSets_broadCancer	KEGG_BASAL_CELL_CARCINOMA (pc_up (4/55))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up GLI3,PTCH1,SHH,WNT6 and pd_up NA						
TH06_0611_S01	geneSets_broadCancer	REACTOME_GPCR_LIGAND_BINDING (pc_up (7/408))	druggable: PTCH1 (pc)	overlap_genes_in_pc_up DRD2,LPAR3,PTCH1,PTHLH,SHH,TAC3,WNT6 and pd_up NA						
TH06_0612_S01	new sample									
TH06_0612_S01	Disease	thyroid carcinoma								
TH06_0612_S01	druggableUpOutlier	No druggableUpOutliers								
TH06_0612_S01		no enriched druggable geneSets								
TH06_0613_S01	new sample									
TH06_0613_S01	Disease	atypical teratoid/rhabdoid tumor								
TH06_0613_S01	druggableUpOutlier	CCND3	pd		Cell Cycle	Cell Cycle	CCND3	HALLMARK_P53_PATHWAY (pd_up (6/200))		
TH06_0613_S01	druggableUpOutlier	FGFR1	pd		Receptor Tyrosine Kinase (RTK)		FGFR1	REACTOME_SIGNALING_BY_FGFR (pc_up (3/112) and pd_up (4/112))		
TH06_0613_S01	druggableUpOutlier	MAP2K1	pc, pd		RAS/RAF/MEK	RAS/RAF/MEK	MAP2K1	BIOCARTA_ERK_PATHWAY (comm_up (2/28) and pc_up (2/28) and pd_up (3/28))		
TH06_0613_S01	druggableUpOutlier	MAP2K2	pc, pd		RAS/RAF/MEK	RAS/RAF/MEK	MAP2K2	BIOCARTA_ERK_PATHWAY (comm_up (2/28) and pc_up (2/28) and pd_up (3/28))		
TH06_0613_S01	geneSets_priority1	KEGG_FOCAL_ADHESION (comm_up (4/201) and pc_up (4/201) and pd_up (8/201))	druggable: CCND3 (pd), MAP2K1 (pc and pd)	overlap_genes_in_pc_up COL11A1,COL2A1,MAP2K1,THBS3 and pd_up BIRC2,CCND3,COL11A1,COL2A1,LAMC1,MAP2K1,SHC1,THBS3						
TH06_0613_S01	geneSets_priority1	REACTOME_AXON_GUIDANCE (comm_up (4/251) and pc_up (5/251) and pd_up (8/251))	druggable: FGFR1 (pd), MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up COL2A1,MAP2K1,MAP2K2,NTN1,SLIT2 and pd_up ANK3,COL2A1,EZR,FGFR1,LAMC1,MAP2K1,MAP2K2,SLIT2						
TH06_0613_S01	geneSets_priority1	BIOCARTA_BARR_MAPK_PATHWAY (comm_up (2/12) and pc_up (2/12) and pd_up (2/12))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	BIOCARTA_BARRESTIN_SRC_PATHWAY (comm_up (2/15) and pc_up (2/15) and pd_up (2/15))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
TH06_0613_S01	geneSets_priority1	BIOCARTA_CDK5_PATHWAY (comm_up (2/11) and pc_up (2/11) and pd_up (2/11))	druggable: MAP2K1 (pc and pd), MAP2K2 (pc and pd)	overlap_genes_in_pc_up MAP2K1,MAP2K2 and pd_up MAP2K1,MAP2K2						
